platform,title,developer,score,num_of_reviews
PS4,SportsBarVR,Cherry Pop Games,62.73,11
XONE,Crackdown 3,Sumo Digital/Microsoft Game Studios,62.60,39
NS,YIIK: A Postmodern RPG,Ackkstudios,62.50,8
PS4,Seasons After Fall,Swing Swing Submarine/Oasis Games,62.50,6
PS4,The Caligula Effect: Overdose,Aquria/NIS America,62.14,7
X360,Hydrophobia,Dark Energy Digital/Microsoft Game Studios,61.89,46
PS4,The Wizards: Enhanced Edition,Carbon Studio,61.86,7
NS,Sleep Tight,We Are Fuzzy,61.83,6
PS4,8-Bit Hordes,Petroglyph,61.37,8
XONE,ToeJam & Earl: Back in the Groove,Humanature Studios,61.33,6
XONE,MX vs. ATV All Out: Anniversary Edition,THQ Nordic,61.00,5
PS4,Trailblazers,Supergonk Ltd./Rising Star Games,60.25,8
PS4,Anthem,BioWare/Electronic Arts,60.00,16
NS,The Caligula Effect: Overdose,Aquria/NIS America,60.00,6
PC,Crackdown 3,Sumo Digital/Microsoft Game Studios,60.00,6
XONE,Jump Force,Spike Chunsoft/Bandai Namco Games,60.00,7
X360,Marathon: Durandal,Freeverse/Microsoft Game Studios,59.54,13
NS,The Princess Guide,Nippon Ichi Software/NIS America,59.17,6
X360,Lost Planet 3,Spark Unlimited/Capcom,58.93,30
PS4,One Piece: World Seeker,Ganbarion/Bandai Namco Games,58.71,17
PS4,V-Rally 4,Kylotonn/Oizumi Amuzio,58.50,10
PS4,Another World: 20th Anniversary Edition,The Digital Lounge/Limited Run Games,58.00,7
PC,Anthem,BioWare/Electronic Arts,57.97,32
PC,War Rock,Dream Execution/Papaya Play,57.14,14
PS4,The LEGO Movie 2 Videogame,TT Games/Warner Bros. Interactive Entertainment,55.40,10
PS4,Jump Force,Spike Chunsoft/Bandai Namco Games,53.36,28
PS4,Vane,Friend & Foe,52.86,25
X360,Port Royale 3: Pirates and Merchants,Kalypso,51.00,5
PS4,Generation Zero,Avalanche Studios/THQ Nordic,49.28,9
PC,Generation Zero,Avalanche Studios/THQ Nordic,49.00,8
PS4,The Deer God,Cinopt Studios LLC/Red Art Games,46.00,5
XONE,Verdun,Abstraction Games/M2H,46.00,5
PS4,Eternity: The Last Unicorn,Void Studios/1C Company,40.83,6
PS4,Bravo Team,SuperMassive Games/Sony Interactive Entertainment,37.64,14
PS4,Left Alive,ilinx inc./Square Enix,36.11,18
NS,Ancient Rush 2,Heideland GameWorks,23.20,5
