title,platform,metascore,userscore,release_date
The Liar Princess and the Blind Prince,PS4,69,6.4,"Feb 12, 2019"
Outward,PC,69,7.8,"Mar 26, 2019"
Earth Defense Force: Iron Rain,PS4,69,6.4,"Apr 11, 2019"
Cinders,Switch,69,tbd,"Feb 14, 2019"
Windscape,Switch,69,tbd,"Mar 27, 2019"
Dragon Marked For Death,Switch,69,7.6,"Mar 26, 2019"
The Wizards: Enhanced Edition,PS4,69,6.6,"Mar 12, 2019"
Degrees of Separation,PS4,68,tbd,"Feb 14, 2019"
Q.U.B.E. 2,Switch,68,7.0,"Feb 21, 2019"
The Occupation,PC,68,3.6,"Mar  5, 2019"
Outward,XONE,68,8.3,"Mar 26, 2019"
The Hong Kong Massacre,PC,68,5.8,"Jan 22, 2019"
ToeJam & Earl: Back in the Groove,XONE,68,5.8,"Mar  1, 2019"
Truberbrook: A Nerd Saves the World,PC,67,5.1,"Mar 12, 2019"
The King's Bird,Switch,67,tbd,"Feb 12, 2019"
Genesis Alpha One,PC,67,5.3,"Jan 29, 2019"
Travis Strikes Again: No More Heroes,Switch,67,7.9,"Jan 18, 2019"
LEGRAND LEGACY: Tale of the Fatebounds,Switch,67,7.0,"Jan 24, 2019"
YIIK: A Postmodern RPG,PC,66,4.1,"Jan 17, 2019"
Nelke & the Legendary Alchemists: Ateliers of the New World,PS4,66,3.7,"Mar 26, 2019"
Fairy Fencer F: Advent Dark Force,Switch,66,5.7,"Jan 17, 2019"
ToeJam & Earl: Back in the Groove,PS4,66,6.2,"Feb 15, 2019"
The LEGO Movie 2 Videogame,XONE,65,2.3,"Feb 26, 2019"
Dangerous Driving,XONE,65,6.1,"Apr  9, 2019"
Degrees of Separation,XONE,65,tbd,"Feb 14, 2019"
Anthem,XONE,65,3.9,"Feb 22, 2019"
One Piece: World Seeker,XONE,65,3.5,"Mar 15, 2019"
Senran Kagura Burst Re:Newal,PS4,65,4.5,"Jan 22, 2019"
Conarium,PS4,65,2.7,"Feb 12, 2019"
Space Junkies,PS4,65,tbd,"Mar 26, 2019"
Monster Energy Supercross:The Official Videogame 2,XONE,65,6.7,"Feb  5, 2019"
Genesis Alpha One,PS4,64,4.1,"Jan 29, 2019"
Dangerous Driving,PS4,64,5.1,"Apr  9, 2019"
The Caligula Effect: Overdose,PS4,64,5.6,"Mar 12, 2019"
ChromaGun VR,PS4,64,5.9,"Feb 19, 2019"
YIIK: A Postmodern RPG,Switch,64,5.7,"Jan 17, 2019"
MX vs. ATV All Out: Anniversary Edition,XONE,64,tbd,"Feb 26, 2019"
Warparty,PC,63,tbd,"Mar 28, 2019"
Xenon Racer,PS4,63,5.8,"Mar 26, 2019"
Jon Shafer's At the Gates,PC,63,6.3,"Jan 23, 2019"
8-Bit Hordes,PS4,63,2.5,"Feb  1, 2019"
Outward,PS4,63,6.9,"Mar 26, 2019"
The Occupation,PS4,63,3.4,"Mar  5, 2019"
Intruders: Hide and Seek,PS4,62,6.6,"Feb 13, 2019"
Claybook,Switch,62,6.4,"Mar 12, 2019"
Sphinx and the Cursed Mummy,Switch,61,6.8,"Jan 29, 2019"
Jump Force,XONE,61,5.4,"Feb 15, 2019"
RemiLore: Lost Girl in the Lands of Lore,Switch,61,tbd,"Feb 26, 2019"
Massira,PS4,60,6.7,"Feb 20, 2019"
Crackdown 3,XONE,60,4.3,"Feb 15, 2019"
Jump Force,PC,60,4.1,"Feb 15, 2019"
Power Rangers: Battle for the Grid,Switch,60,6.3,"Mar 26, 2019"
YIIK: A Postmodern RPG,PS4,59,5.7,"Jan 17, 2019"
The Caligula Effect: Overdose,Switch,59,5.9,"Mar 12, 2019"
12 is Better Than 6,Switch,59,tbd,"Mar  5, 2019"
Anthem,PC,58,4.1,"Feb 22, 2019"
One Piece: World Seeker,PS4,58,3.5,"Mar 15, 2019"
Warplanes: WW2 Dogfight,Switch,58,tbd,"Feb 21, 2019"
The Princess Guide,Switch,57,tbd,"Mar 26, 2019"
The LEGO Movie 2 Videogame,PS4,57,1.5,"Feb 26, 2019"
Jump Force,PS4,56,4.4,"Feb 15, 2019"
The LEGO Movie 2 Videogame,Switch,56,tbd,"Mar 26, 2019"
Anthem,PS4,55,3.6,"Feb 22, 2019"
Crackdown 3,PC,54,2.9,"Feb 15, 2019"
Modern Combat: Blackout,Switch,53,5.7,"Feb 14, 2019"
Fimbul,PS4,52,1.8,"Feb 28, 2019"
Eden-Tomorrow,PS4,52,6.1,"Feb 12, 2019"
Generation Zero,PC,51,5.5,"Mar 26, 2019"
Generation Zero,XONE,50,5.7,"Mar 26, 2019"
BANNERMEN,PC,48,6.8,"Feb 21, 2019"
Generation Zero,PS4,47,5.4,"Mar 26, 2019"
Left Alive,PS4,37,8.3,"Mar  5, 2019"
Eternity: The Last Unicorn,PS4,36,4.8,"Mar  5, 2019"
